Contributor	X	Y	Z	n	s	sl
Cubes71	1	0	0	1	1	1
Cubes71	-12	11	11	934	1	1
Cubes71	-11	10	10	669	1	1
Cubes71	-10	9	9	458	1	1
Cubes71	-9	8	8	295	1	1
Cubes71	-8	7	7	174	1	1
Cubes71	-7	6	6	89	1	1
Cubes71	-6	5	5	34	1	1
Cubes71	-5	4	4	3	1	1
Cubes71	2	-1	-1	6	1	1
Cubes71	3	-2	-2	11	1	1
Cubes71	4	-3	-3	10	1	1
Cubes71	2	0	0	8	2	1
Cubes71	3	-1	-1	25	2	1
Cubes71	4	-2	-2	48	2	1
Cubes71	5	-3	-3	71	2	1
Cubes71	6	-4	-4	88	2	1
Cubes71	7	-5	-5	93	2	1
Cubes71	8	-6	-6	80	2	1
Cubes71	9	-7	-7	43	2	1
Cubes71	-10	8	8	24	2	1
Cubes71	-11	9	9	127	2	1
Cubes71	-12	10	10	272	2	1
Cubes71	-13	11	11	465	2	1
Cubes71	-14	12	12	712	2	1
Cubes71	2	-1	0	7	2	2
Cubes71	3	-2	-1	18	2	2
Cubes71	4	-3	-2	29	2	2
Cubes71	5	-4	-3	34	2	2
Cubes71	6	-5	-4	27	2	2
Cubes71	7	-6	-5	2	2	2
Cubes71	-8	7	6	47	2	2
Cubes71	-9	8	7	126	2	2
Cubes71	-10	9	8	241	2	2
Cubes71	-11	10	9	398	2	2
Cubes71	-12	11	10	603	2	2
Cubes71	-13	12	11	862	2	2
Cubes71	3	0	0	27	3	1
Cubes71	4	-1	-1	62	3	1
Cubes71	5	-2	-2	109	3	1
Cubes71	6	-3	-3	162	3	1
Cubes71	7	-4	-4	215	3	1
Cubes71	8	-5	-5	262	3	1
Cubes71	9	-6	-6	297	3	1
Cubes71	10	-7	-7	314	3	1
Cubes71	11	-8	-8	307	3	1
Cubes71	12	-9	-9	270	3	1
Cubes71	13	-10	-10	197	3	1
Cubes71	14	-11	-11	82	3	1
Cubes71	-15	12	12	81	3	1
Cubes71	-16	13	13	298	3	1
Cubes71	-17	14	14	575	3	1
Cubes71	-18	15	15	918	3	1
Cubes71	3	-1	0	26	3	2
Cubes71	4	-2	-1	55	3	2
Cubes71	5	-3	-2	90	3	2
Cubes71	6	-4	-3	125	3	2
Cubes71	7	-5	-4	154	3	2
Cubes71	8	-6	-5	171	3	2
Cubes71	9	-7	-6	170	3	2
Cubes71	10	-8	-7	145	3	2
Cubes71	11	-9	-8	90	3	2
Cubes71	-12	10	9	1	3	2
Cubes71	-13	11	10	134	3	2
Cubes71	-14	12	11	315	3	2
Cubes71	-15	13	12	550	3	2
Cubes71	-16	14	13	845	3	2
Cubes71	3	-2	0	19	3	3
Cubes71	4	-3	-1	36	3	3
Cubes71	5	-4	-2	53	3	3
Cubes71	6	-5	-3	64	3	3
Cubes71	7	-6	-4	63	3	3
Cubes71	8	-7	-5	44	3	3
Cubes71	9	-8	-6	1	3	3
Cubes71	-10	9	7	72	3	3
Cubes71	-11	10	8	181	3	3
Cubes71	-12	11	9	332	3	3
Cubes71	-13	12	10	531	3	3
Cubes71	-14	13	11	784	3	3
Cubes71	4	0	0	64	4	1
Cubes71	5	-1	-1	123	4	1
Cubes71	6	-2	-2	200	4	1
Cubes71	7	-3	-3	289	4	1
Cubes71	8	-4	-4	384	4	1
Cubes71	9	-5	-5	479	4	1
Cubes71	10	-6	-6	568	4	1
Cubes71	11	-7	-7	645	4	1
Cubes71	12	-8	-8	704	4	1
Cubes71	13	-9	-9	739	4	1
Cubes71	14	-10	-10	744	4	1
Cubes71	15	-11	-11	713	4	1
Cubes71	16	-12	-12	640	4	1
